exp_id	dev	test	status	sig	description
51	0.749214	0.000000	inconclusive	cc005a88a40a	[instructions] Added a decision order to classify documents with insurance terms, limits, or coverage details as Supplemental questionnaire before considering Other, to reduce over-firing of Other.
52	0.742751	0.000000	inconclusive	294253a5633b	[instructions] Refined Loss run definition by explicitly listing content signals (claim numbers, reserves, valuation dates) to improve classification accuracy and reduce misclassification into Other.
53	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Exclude unreadable/corrupted documents entirely from classification, not just from the 'Other' category, to prevent misclassification and narrow its scope. — duplicate/no-op, skipped (already known)
54	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Exclude unreadable or corrupted documents from classification entirely, not just from 'Other', to prevent misclassification and narrow the 'Other' category. — duplicate/no-op, skipped (already known)
55	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Exclude unreadable/corrupted documents entirely from classification to prevent misclassification into Other, further narrowing its scope. — duplicate/no-op, skipped (already known)
56	0.000000	0.000000	duplicate	964a845f9867	[instructions] Explicitly exclude unreadable/corrupted documents from the 'Other' category and direct them to Supplemental questionnaire to further narrow 'Other'. — duplicate/no-op, skipped (already known)
57	0.803976	0.933333	final	87dd16fb4cbb	held-out test of best (round 0)
58	0.803976	0.000000	inconclusive	c2d6114bfb28	[instructions] Explicitly exclude unreadable/corrupted documents from classification to prevent misclassification into Other, further narrowing its scope.
59	0.749214	0.000000	inconclusive	0dd3cee2f351	[instructions] Strengthen exclusion of corrupted/unreadable documents from 'Other' and clarify that documents detailing specific coverage terms belong in 'Supplemental questionnaire'.
60	0.803976	0.000000	inconclusive	0429c0af5be7	[instructions] Exclude unreadable/corrupted documents from classification entirely, not just from 'Other', to refine classification accuracy.
61	0.776595	0.000000	inconclusive	f0d56ea06859	[instructions] Explicitly exclude unreadable/corrupted documents from 'Other', narrowing its scope.
62	0.776595	0.000000	inconclusive	a5bed8cb70e6	[instructions] Explicitly exclude unreadable/corrupted documents from classification entirely, not just from 'Other', to prevent misclassification and refine classification accuracy.
63	0.803976	0.000000	inconclusive	f664fac6a8c0	[instructions] Add an explicit rule to exclude unreadable or corrupted documents from the Other category, further refining its scope and reducing over-firing.
64	0.749214	0.000000	inconclusive	57bd3208729d	[instructions] Added explicit exclusion of documents detailing insurance terms/limits from Other to Supplemental questionnaire, refining Other's scope.
65	0.803976	0.000000	inconclusive	496579c594d0	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely, not just from 'Other', to refine classification accuracy and reduce misclassification.
66	0.000000	0.000000	duplicate	720a1ba95b97	[instructions] Clarified that documents primarily containing insurance terms/limits should be classified as Supplemental questionnaire, refining the scope of Other. — duplicate/no-op, skipped (already known)
67	0.000000	0.000000	duplicate	720a1ba95b97	[instructions] Clarified that documents primarily containing insurance terms/limits should be classified as Supplemental questionnaire, refining the scope of Other. — duplicate/no-op, skipped (already known)
68	0.000000	0.000000	duplicate	720a1ba95b97	[instructions] Clarified that documents primarily containing insurance terms/limits should be classified as Supplemental questionnaire, refining the scope of Other. — duplicate/no-op, skipped (already known)
69	0.000000	0.000000	duplicate	720a1ba95b97	[instructions] Clarified that documents primarily containing insurance terms/limits should be classified as Supplemental questionnaire, refining the scope of Other. — duplicate/no-op, skipped (already known)
70	0.803976	0.933333	final	87dd16fb4cbb	held-out test of best (round 0)
